Rank,Title,Channel,Channel Profile Picture,Views,Likes,Category,Trending Date,Video URL,Country
#1,I Suprised Asher with His Dream Car (because I broke his Old one),Triggered Insaan,https://yt3.ggpht.com/ytc/AIdro_kcOOmIW7xVRIyEyDfZNLz2N2QF4h2shl3NL04oS365WvA=s88-c-k-c0x00ffffff-no-rj,2974550,224799,People & Blogs,2025-02-08,https://www.youtube.com/watch?v=0npHhON9d_w,India
#2,"Sanam Teri Kasam, (Lyrical Video) - Harshvardhan, Mawra | Ankit Tiwari | Palak M | Himesh Reshammiya",SonyMusicIndiaVEVO,https://yt3.ggpht.com/R04QrRbPUZuuVoM8Qw4JPw3xXJb-6AaO4L8D_mHIOgY_3ZGdeTXWxASkdJK811RqrxyK_fBWmzw=s88-c-k-c0x00ffffff-no-rj,452373,12450,Music,2025-02-08,https://www.youtube.com/watch?v=kKljXVVkgS4,India
#3,"KHUSHI KAPOOR , JUNAID KHAN , KULLU ON THE THUGESH SHOW | S02E03 | @Kullubaazi",Thugesh,https://yt3.ggpht.com/ytc/AIdro_mb6AQ_SKGatJO4z16_YA-Uxm1M9lX2qq1-vV8GWqP9byU=s88-c-k-c0x00ffffff-no-rj,2014110,123737,Entertainment,2025-02-08,https://www.youtube.com/watch?v=5l7ZIexbheo,India
#4,Badass Ravikumar movie review by Badal Badmash,BnfTV,https://yt3.ggpht.com/AgJU9IXiiu0NSlOiXp1onAiFAI6XeZHWiRI232hgW_5WUnsNvW7dteK-H7Pq2brWM_zJEC8KJKE=s88-c-k-c0x00ffffff-no-rj,589808,38793,Entertainment,2025-02-08,https://www.youtube.com/watch?v=5jGTJ3EgWjQ,India
#5,VIDAAMUYARCHI review by prashanth,tamilcinemareview,https://yt3.ggpht.com/ytc/AIdro_mw37arTxPpfsqgidLbMusTBx--kdnC0UH6ucO5-R22mw=s88-c-k-c0x00ffffff-no-rj,615365,13167,Film & Animation,2025-02-08,https://www.youtube.com/watch?v=9mqUk0436v0,India
#6,JACK Teaser | Siddhu Jonnalagadda | Vaishnavi Chaitanya | Bommarillu Bhaskar | BVSN Prasad | SVCC,Sri Venkateswara Cine Chitra,https://yt3.ggpht.com/b3Zj1ygjO-eLy2YMmyW-uVZtwGTxBFeyCbXEcDAZaqapZAHCzi-1VHmmWtvEPAQpT05Dv0o53g=s88-c-k-c0x00ffffff-no-rj,3207654,38669,Entertainment,2025-02-08,https://www.youtube.com/watch?v=-Q_YWyX1mIY,India
#7,Puppets l Episode 2 : कर्मचक्र l Purav Jha | ft. ‪@RohitZinjurke‬,Purav Jha,https://yt3.ggpht.com/f4gXSHk69Ew8S3m7NmVD_e5D_6nx3yS2CdvQRGF2ZNXjJYsMC1CazVbeEbZyQ00X8tAg3QvwWzg=s88-c-k-c0x00ffffff-no-rj,3377452,279647,Entertainment,2025-02-08,https://www.youtube.com/watch?v=4b8BVrkw0w0,India
#8,Badass Ravikumar Movie REVIEW | Suraj Kumar,Suraj Kumar,https://yt3.ggpht.com/CEkpkhGYoXw0a99ZoC4O-7O1K0ikG_lSOvE_scQZj-zZyP8iTMc59l_ii7ZSOdkYLDhojghr4Eo=s88-c-k-c0x00ffffff-no-rj,378677,32654,Entertainment,2025-02-08,https://www.youtube.com/watch?v=IK2wVCRKnqo,India
#9,"अजय देवगन को सड़क चाप कहनेवाली लड़की शादी के लिए मान गई - Ajay Devgn, Madhoo - Phool Aur Kaante",Pen Multiplex,https://yt3.ggpht.com/8u34rnbcgkC_aYIc2n3U6_cCKy1PnxCe_TuSWxbsl7JZ9aU8vqukl6oRHcR5nAGWxQ-709XcKA=s88-c-k-c0x00ffffff-no-rj,645309,2080,Entertainment,2025-02-08,https://www.youtube.com/watch?v=B8M4dpNsQ20,India
#10,WHOLE BEEF!! | Beef Inside Veggies | Cooking Whole Beef In BIG Vessel | Whole Beef Fry Recipe,Village Food Channel,https://yt3.ggpht.com/R-JfzndH2s81Ju3W5uvGqKVuBB_o1f7PoI_BYA4gXMSmiLjUucA1mP9vQOEsngdiX3aXAtmnpB8=s88-c-k-c0x00ffffff-no-rj,257681,15893,Howto & Style,2025-02-08,https://www.youtube.com/watch?v=RmZn2jJ4FjQ,India
#11,Vidaamuyarchi Movie Review - உண்மையா படம் எப்படி இருக்கு? Ajith Kumar | Magizh Thirumeni | Anirudh,Empty Hand,https://yt3.ggpht.com/loQYn_8ZsCW1p3Cz4VRt6bIYX-vhysGIISCT1IMbqExvvr6GdX2LOY5nDN5_lJw7rYZMD1Z9HA=s88-c-k-c0x00ffffff-no-rj,456395,23898,Entertainment,2025-02-08,https://www.youtube.com/watch?v=cRRvreTjP5c,India
#12,Sabki Mehnat ❤️| Masterchef ka Pehla Team Challenge | Best Team Crazy Fun|,Dipika Ki Duniya,https://yt3.ggpht.com/C4e0i1gyx_79wYqZRxobduJ2wAbY76t2XC_Ls_cl-KoSP_zt16Gmxi5j7Fa4Y9qRdgujnpF__Mw=s88-c-k-c0x00ffffff-no-rj,296936,16207,People & Blogs,2025-02-08,https://www.youtube.com/watch?v=AoRxTXMb6G0,India
#13,Badass Ravi Kumar Movie Review | Yogi Bolta Hai,YOGI BOLTA HAI,https://yt3.ggpht.com/I2IBDCLLnfY10J0AqfTr7y3NnGpnGQrw_WG8_5HDkSNIuaSpH6Ztt3xvwzeLEpYDjz2P_ZRhdKw=s88-c-k-c0x00ffffff-no-rj,740563,35750,Entertainment,2025-02-08,https://www.youtube.com/watch?v=px7OzXcWT7c,India
#14,Back After A Month |Get Well Soon Dipi | Finally Breaking Silence On This | Shoaib Ibrahim| vlog,Shoaib Ibrahim Official,https://yt3.ggpht.com/ytc/AIdro_nfkARSNZrfItna1c67XLXiXc7sNbZbASrFcMFpvpKAtA=s88-c-k-c0x00ffffff-no-rj,1149097,48542,People & Blogs,2025-02-08,https://www.youtube.com/watch?v=09rYXcnELmE,India
#15,അത് തന്നെ വയസ്സിന്റെ കണക്ക്,farooq malappuram vlog,https://yt3.ggpht.com/FK00LoidbwevB9OkE0b7feZkfH-W965WpKtuFU0sm-8f4S0zxSUetwqzvwkJfo1rLBiBJR9o=s88-c-k-c0x00ffffff-no-rj,360289,10290,People & Blogs,2025-02-08,https://www.youtube.com/watch?v=ik10CkmSMIc,India
#16,"Aaya Re Toofan | Chhaava | Vicky K, Rashmika M | A. R. Rahman, Vaishali S., Irshad Kamil, Kshitij P.",Sony Music India,https://yt3.ggpht.com/42o3XIW1j5zmzsFeZs3ND4QwaXXrnpK9vqftcEuEdbgNhPbltXRktcSmyJ12-gSRqKch93Ir=s88-c-k-c0x00ffffff-no-rj,27183074,250687,Music,2025-02-08,https://www.youtube.com/watch?v=x2J1qbndOmU,India
