Rank,Title,Channel,Channel Profile Picture,Views,Likes,Category,Trending Date,Video URL,Country
#1,Dad ruins house with giant hammock? ￼,Justin Flom,https://yt3.ggpht.com/ytc/AIdro_kYgRFcfXEnEVYfiJ5Z-eY8IIIaL6kh2-cImdXyjTgbgEY=s88-c-k-c0x00ffffff-no-rj,20178735,1598018,Entertainment,2025-02-08,https://www.youtube.com/watch?v=vfMidFUS3jE,New Zealand
#2,"Ouch, Speed 😬 (via @loganpaul/TT)",ESPN,https://yt3.ggpht.com/ytc/AIdro_mjPkMeFcQxySKuGOn-eSPaOaTK55KKtjF7LTkkwidfCP1D=s88-c-k-c0x00ffffff-no-rj,21819883,813314,Sports,2025-02-08,https://www.youtube.com/watch?v=-UEOB8O3iWU,New Zealand
#3,"Cool Items!🥰 New Gadgets, Smart Appliances, Kitchen Tools Utensils, Home Cleaning, Beauty #shorts",Cool Items Official,https://yt3.ggpht.com/fbUAq-i2S6VhMiAX9pAUYb78T7devHhxV5BN1yri1Si6dYCqEgoFZW2tQ_g5DbtKCAEZuDdiudE=s88-c-k-c0x00ffffff-no-rj,104190840,1416312,Howto & Style,2025-02-08,https://www.youtube.com/watch?v=IXvjYW07dIY,New Zealand
#4,Only a person with a truly KIND HEART is capable of such an act #shorts,"This is MMA, baby",https://yt3.ggpht.com/v-lA0kdUkOStFys3eS4sdEZyjQvqbJhiCeTpBhJu0EyECzrGbX69w8elXe7k6tSBZMY0i88La5w=s88-c-k-c0x00ffffff-no-rj,6939307,304318,Sports,2025-02-08,https://www.youtube.com/watch?v=w1kkXbR0GAQ,New Zealand
#5,Yo Mama’s Calling #SuperBowl,BwaJack,https://yt3.ggpht.com/ydYmQft5Ceil8eT_c3la1QcIIfb-qz255fQLnh-FuXGHtOA0oITQhG-AkH8hHkzCd0aanS0_=s88-c-k-c0x00ffffff-no-rj,8040881,407986,Gaming,2025-02-08,https://www.youtube.com/watch?v=Zc4ZYbN0Ooo,New Zealand
#6,The perfect snowball 😳❄️ (via @vidough/TT),SportsNation,https://yt3.ggpht.com/F7eDOONACF-YK4nKQ9NMhcWV5o2Lj_IjbPeHqvwPZm-iHdq76hXJ4gwU7LGqp26tMIIxRoUv6A=s88-c-k-c0x00ffffff-no-rj,76407910,N/A,Entertainment,2025-02-08,https://www.youtube.com/watch?v=yGU47GxqZic,New Zealand
#7,When MEXICANS Sell FOOD 😂,TheCrazyGorilla,https://yt3.ggpht.com/ytc/AIdro_lMbbNx5MnQcGh2vQSTAvEp2CNyAPOHdeLwrJ1Rq2xpD8A=s88-c-k-c0x00ffffff-no-rj,18318509,1004547,Comedy,2025-02-08,https://www.youtube.com/watch?v=uhaF3K1-NpM,New Zealand
#8,WE ALL SPIT WATER ON EACH OTHER😭 #foryou #water #mom,Lala Tv,https://yt3.ggpht.com/YnmxGuSGKk3QMTHhF4xJP50qF5WsjjCGhc-vDgHi9oDcex5FUzq-3R_EDrNYg8-xiHd5izo5=s88-c-k-c0x00ffffff-no-rj,11343552,921205,Comedy,2025-02-08,https://www.youtube.com/watch?v=8wt--spQqDw,New Zealand
#9,$1000 to bark on stage,AJR,https://yt3.ggpht.com/sMez3qa3YmeTgBQh645cAj1c0mJlsPsK-47IyDfeps3o3aoja2LwToB-NGAMeoNNFI8KfhUS_g=s88-c-k-c0x00ffffff-no-rj,11272561,963271,Music,2025-02-08,https://www.youtube.com/watch?v=4yndBSxGRc0,New Zealand
#10,A genie reveals the secret catches,Chris and Jack,https://yt3.ggpht.com/J1T2Sip_p9RPl2HxsCuDbYXrSwCzz-QIMZHfE8q3ztR4Ad40bNUU-1EYGbLNIvIineoT70dD3A=s88-c-k-c0x00ffffff-no-rj,6108968,412535,Comedy,2025-02-08,https://www.youtube.com/watch?v=g60II3kvWdU,New Zealand
