Rank,Title,Channel,Channel Profile Picture,Views,Likes,Category,Trending Date,Video URL,Country
#1,LISA - BORN AGAIN feat. Doja Cat & RAYE (Official Music Video),LLOUD Official,https://yt3.ggpht.com/ZT8_CI_nisRYWvEybMR-EJavrqwZPqcSKmhOpAYJDA7K3HVQpRIRxqijl5dZPTHHFRIk274f8w=s88-c-k-c0x00ffffff-no-rj,12446347,1301391,Music,2025-02-08,https://www.youtube.com/watch?v=kbEC-AGr9n0,USA
#2,Alabama Barker - Cry Bhabie (Official Video),Alabama Barker,https://yt3.ggpht.com/cZT3s_8bUj3qboBBYNnRK387-GFQTuDfsRL8FUqkF4vzJXcoF9I-NDMz3aFnxCWY-mcnOZzjkQ=s88-c-k-c0x00ffffff-no-rj,301873,20135,People & Blogs,2025-02-08,https://www.youtube.com/watch?v=y1M8Ea46MgU,USA
#3,How LeBron Was In The Locker Room After Luka Got Traded To The Lakers (Jimmy Butler Trade too),RDCworld1,https://yt3.ggpht.com/ytc/AIdro_nuaVW-Kz69bRZp6dlKpwk6cthNBVR3ftekbbi5rw1YpxU=s88-c-k-c0x00ffffff-no-rj,2610125,247683,Film & Animation,2025-02-08,https://www.youtube.com/watch?v=C8ZCg0FeXOk,USA
#4,Pardison Fontaine & Cardi B - Toot It Up (Official Music Video),Pardison Fontaine,https://yt3.ggpht.com/YYgU0j59c5SznTFY9LQYqXujjXRAwx9geLZcUKeDTX-iJJiZCeb2eRvrtqs_DboBa4guMfeLlQ=s88-c-k-c0x00ffffff-no-rj,426970,13033,Music,2025-02-08,https://www.youtube.com/watch?v=3OZN3FiA58c,USA
#5,"Brandon Lake, Jelly Roll - Hard Fought Hallelujah",BrandonLakeVEVO,https://yt3.ggpht.com/b2YIbaR0NN7aa8Nnxh7PFgpiLs_Wr9Xvr9F3LhhbskaDHAMI2IuGvacqZ6FZMzaBVa6s501T8A=s88-c-k-c0x00ffffff-no-rj,196785,17123,Music,2025-02-08,https://www.youtube.com/watch?v=YJNFAaWJhp0,USA
#6,"WARRIORS at LAKERS | FULL GAME HIGHLIGHTS | February 6, 2025",NBA,https://yt3.ggpht.com/qtn_u6ISz-HvZphchyOE6qFFfA_iu9-8dC8yABZ2E4uAbYbtZci0rki5tQNLdCrfijZkOClRRw=s88-c-k-c0x00ffffff-no-rj,2200460,24739,Sports,2025-02-08,https://www.youtube.com/watch?v=1wYSRHOm5co,USA
#7,"Brandon Lake, Jelly Roll - Hard Fought Hallelujah (Lyric Video)",BrandonLakeVEVO,https://yt3.ggpht.com/b2YIbaR0NN7aa8Nnxh7PFgpiLs_Wr9Xvr9F3LhhbskaDHAMI2IuGvacqZ6FZMzaBVa6s501T8A=s88-c-k-c0x00ffffff-no-rj,270428,17479,Music,2025-02-08,https://www.youtube.com/watch?v=7X0KKWrkfvQ,USA
#8,GELO - Tweaker (Remix) Feat. Lil Wayne (Visualizer),GELO,https://yt3.ggpht.com/98ndzESA9tls0znbD95d97cP0l2aOtEbu_7PS9CLuyRrzqEc3nfjBqL7NqU0MvHOi_g4pcRY5w=s88-c-k-c0x00ffffff-no-rj,454415,39316,People & Blogs,2025-02-08,https://www.youtube.com/watch?v=-gajxasUoSc,USA
#9,GIVĒON - TWENTIES (Official Music Video),GiveonVEVO,https://yt3.ggpht.com/8ceZiDfCwfYVZFTgwbVOcAhsglPvuLyuJL-FQRperdSBeGGK-zU5kUxeb_arUHFRvezJno_j=s88-c-k-c0x00ffffff-no-rj,532801,50372,Music,2025-02-08,https://www.youtube.com/watch?v=F5S0rnc3828,USA
#10,DDG - The Method (Official Music Video),DDGVEVO,https://yt3.ggpht.com/7JExVmTs6y9eZfetCFOePaeOBKfMXBizwY6ucgwYdQu9KGTm2xlJj1hKEcTmNauPOPG_Ln9B=s88-c-k-c0x00ffffff-no-rj,316739,34447,Music,2025-02-08,https://www.youtube.com/watch?v=WkHwnrr3wZM,USA
#11,Maddox Batson - I Don't Like You Anymore (Official Music Video),Maddox Batson,https://yt3.ggpht.com/viL428Vjj9CxkNIzLM02o3HPfAhVEQRzFoW0QkdlzWOIVDjFHKbXAcZYTj6a9Q1PMTfebFOZCWQ=s88-c-k-c0x00ffffff-no-rj,295389,18942,Music,2025-02-08,https://www.youtube.com/watch?v=TwltMgNmUK4,USA
#12,Alex Warren - Ordinary (Official Lyric Video),Alex Warren,https://yt3.ggpht.com/LkvliZwBCBwMbVmHiKfYo1W2oUVpfRGqO6CW13OTAPu7CVFuqkGa-gUQIpowDvaB_3-mwUGp=s88-c-k-c0x00ffffff-no-rj,167688,14169,People & Blogs,2025-02-08,https://www.youtube.com/watch?v=A8dH4cKGa6s,USA
#13,"Yuri, Ángela Aguilar - Maldita Primavera",YuriOficialVEVO,https://yt3.ggpht.com/2YgEuPkRy9UGcwzUkpHsVRytOVm4JI7upuWuzhQCsPuzjE8dPTF-ve_lITYbLc-0XRsEfcoxiQ=s88-c-k-c0x00ffffff-no-rj,507841,36411,Music,2025-02-08,https://www.youtube.com/watch?v=wf9oy3LcqYM,USA
#14,"Piso 21, Marc Anthony y Beéle - Volver (Video Oficial)",Piso 21,https://yt3.ggpht.com/8Ialp5_2hd5xSTZCoeGiYak98arzCGK2om0QJpDz3vnj6v0Up8Q1MOBdub5QTOYTbGl4mylL=s88-c-k-c0x00ffffff-no-rj,842275,33143,Music,2025-02-08,https://www.youtube.com/watch?v=yTLWGt4e6Hw,USA
#15,The Sims 4 Businesses & Hobbies Expansion Pack | Official Reveal Trailer,The Sims,https://yt3.ggpht.com/DlUgttW7aoJL3FC8UnZByyR2VMsGCdlznp-eXsRAzbVZpzW1RBLX1Ca1hl9Sxb-RcEUO7LGW=s88-c-k-c0x00ffffff-no-rj,633195,37977,Gaming,2025-02-08,https://www.youtube.com/watch?v=LtroCEUo_e4,USA
#16,GOOD RANDOMS - My Only Trophy (Official Music Video),Brawl Stars,https://yt3.ggpht.com/wb86u_UEyHidbPUM9Cj2DttFoGFVWd1fEsJyk2J0rBdKIjbh8HhRKGfQx9_ISP7Vg9BE5QCl8g=s88-c-k-c0x00ffffff-no-rj,6733467,241669,Gaming,2025-02-08,https://www.youtube.com/watch?v=xRz9DFJQ_j4,USA
#17,MEXICANS TRY SNOWBOARDING *PRANK*,Kim & Vinny,https://yt3.ggpht.com/IC07L-nXmicPHRvDrsvsO0mr8qKNOvYAO8kotooBPLDSve2Yg3RB-BR0UOWSfxyJAO0c0zb1Kt0=s88-c-k-c0x00ffffff-no-rj,54438,1956,People & Blogs,2025-02-08,https://www.youtube.com/watch?v=oZnqU1JKbKU,USA
#18,"NRL Match Highlights 2025 | Sharks v Warriors | Pre-Season Week 1, 2025",NRL - National Rugby League,https://yt3.ggpht.com/UPuOsfFjO8Mpk4oJJ9XLhk2zQaa3mRcD3l0AX8k0zwrIe0f_sM78ed1KjopUl0G-hXaH66i1=s88-c-k-c0x00ffffff-no-rj,91742,1254,Sports,2025-02-08,https://www.youtube.com/watch?v=VIyBSn-OFwg,USA
#19,Where I am now,The Minimal Mom,https://yt3.ggpht.com/xQoZzFp3movn7LO-tWd6t8Ai4HiYKqULkcOux96Oz5sSYcQv_1sL_wsbvaRGL7ILmxIPIPirMtM=s88-c-k-c0x00ffffff-no-rj,332140,19948,Howto & Style,2025-02-08,https://www.youtube.com/watch?v=g3B4u1i6IS8,USA
#20,Naming our baby girl... We like WEIRD names :),Mr. Kate,https://yt3.ggpht.com/If7ozvb6SixntJ6coaNnQv1XUEKzJ5BUlSnJEhRAwtgsyiNeoGjH9eXVEZ0SjzNB2IYozyAAJw=s88-c-k-c0x00ffffff-no-rj,210421,14482,Howto & Style,2025-02-08,https://www.youtube.com/watch?v=KOrqbSdbmcw,USA
